voice,style,audio_path,duration_seconds,text,video_path,base_video_variant
voice_1,neutral,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/narration_voice_1_neutral.wav,3.75125,Smooth city walking. Temporal smoothing reduces flicker.,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/final_video_voice_1_neutral.mp4,enhancement_B_temporal
voice_1,happy,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/narration_voice_1_happy.wav,3.406375,Smooth city walking. Temporal smoothing reduces flicker.,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/final_video_voice_1_happy.mp4,enhancement_B_temporal
voice_1,calm,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/narration_voice_1_calm.wav,4.642125,Smooth city walking. Temporal smoothing reduces flicker.,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/final_video_voice_1_calm.mp4,enhancement_B_temporal
voice_1,clear,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/narration_voice_1_clear.wav,4.276,Smooth city walking. Temporal smoothing reduces flicker.,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/final_video_voice_1_clear.mp4,enhancement_B_temporal
voice_2,neutral,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/narration_voice_2_neutral.wav,3.6121875,Smooth city walking. Temporal smoothing reduces flicker.,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/final_video_voice_2_neutral.mp4,enhancement_B_temporal
voice_2,happy,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/narration_voice_2_happy.wav,3.432,Smooth city walking. Temporal smoothing reduces flicker.,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/final_video_voice_2_happy.mp4,enhancement_B_temporal
voice_2,calm,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/narration_voice_2_calm.wav,4.6758125,Smooth city walking. Temporal smoothing reduces flicker.,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/final_video_voice_2_calm.mp4,enhancement_B_temporal
voice_2,clear,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/narration_voice_2_clear.wav,4.276,Smooth city walking. Temporal smoothing reduces flicker.,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/final_video_voice_2_clear.mp4,enhancement_B_temporal
voice_3,neutral,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/narration_voice_3_neutral.wav,3.0556875,Smooth city walking. Temporal smoothing reduces flicker.,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/final_video_voice_3_neutral.mp4,enhancement_B_temporal
voice_3,happy,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/narration_voice_3_happy.wav,2.8431875,Smooth city walking. Temporal smoothing reduces flicker.,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/final_video_voice_3_happy.mp4,enhancement_B_temporal
voice_3,calm,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/narration_voice_3_calm.wav,3.6989375,Smooth city walking. Temporal smoothing reduces flicker.,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/final_video_voice_3_calm.mp4,enhancement_B_temporal
voice_3,clear,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/narration_voice_3_clear.wav,3.444,Smooth city walking. Temporal smoothing reduces flicker.,/kaggle/working/phase2_results/bonus_text_to_audio/all_voice_style_videos/final_video_voice_3_clear.mp4,enhancement_B_temporal
